gu	આ ઉપરાંત વિકિપીડિયામાં અત્યારે અનેક લેખો તૈયાર થઇ રહ્યા છે જેમને પ્રસ્તુત લેખ (માસનો ઉમદા લેખ) તરીકે રજૂ કરી શકાય તેમ છે. આ લેખોને ઉચ્ચ કક્ષાએ લઇ જવા માટે આપને હાર્દિક આમંત્રણ છે. મોટેભાગે આ લેખોને સમૃદ્ધ કરવાની અને તેમની સફાઈ કરવાની (જેમકે ત્રુટક કડીઓ દૂર કરવાની, સંદર્ભ ઉમેરવાની, મઠારવાની, વગેરે) કે અધુરા અનુવાદ પૂર્ણ કરવાની જરૂર છે. તો શું આપ ભાવનગર, સિક્કિમ, અમદાવાદની ગુફા, અમરનાથ કે પછી ક્ષત્રિયથી શરૂઆત કરશો?
ru	На родину Костюшко вернулся в 1784 году. В 1789 году в звании генерал-майора он присоединился к армии Речи Посполитой. После второго раздела Речи Посполитой, в марте 1794 года, он организовал и возглавил восстание. В октябре 1794 года в сражении при Мацеёвицах главные силы повстанцев были разбиты российскими войсками, а сам Костюшко взят в плен. В 1796 году, после смерти российской императрицы Екатерины II, Костюшко был помилован её преемником Павлом I и эмигрировал в США. После возвращения в Европу жил в Швейцарии до своей смерти в 1817 году.
rw	Imana y'i Rwanda, ni Imana y'amahoro!
ro	Datorită intensității radioactivității sale, are puține domenii de utilizare, precum radio-imunoterapia sau folosirea neutronilor emiși ca sursă energetică. În tehnologia chimică sau metalurgia clasică nu se cunosc aplicații industriale ale actiniului.
jv	Malaysia sampun konfirmasi menawi tugelan swiwi montor miber Boeing 777 ingkang dipunpanggihaken ing Réunion punika, tilasipun saking MH 370 ingkang ical tanggal 8 Maret 2014 langkung saking satunggal taun kapengker.
be	 Пры падазрэнні на хваробу Альцгеймера для ўдакладнення дыягназу аналізуюць паводзіны, праводзяць серыю кагнітыўных тэстаў, калі магчыма, праводзіцца магнітна-рэзанансная тамаграфія. З развіццём хваробы адбываецца страта доўгачасовай памяці. 
bg	Германският астроном Йохан Готфрид Гал открива планетата Нептун (на снимката), използвайки математическите предположения на френския математик Юрбен Льоверие.
ms	Mula-mulanya, Upin & Ipin disiarkan sempena bulan Ramadan pada tahun 2007 di TV9 (Malaysia), dengan tujuan mendidik anak-anak agar menghayati erti bulan mulia, kini menjangkaui lima musim dan tidak terhad pada televisyen, bahkan juga dalam bentuk DVD dan penstriman video melalui Internet. Upin & Ipin juga berjaya dipasarkan di luar negara, khususnya negara jiran Indonesia.
wa	Si vos vloz rbouter avou nozôtes, c' est foirt åjhey, vos fåt djusse clitchî so les loyéns et vs mete a scrire des noveas årtikes, ou coridjî/ecråxhî les cis k' i gn a ddja. Po pus di racsegnes so çou k' est Wikipedia, sol manire di scrire les årtikes, evnd. vos ploz pol moumint aler lére les pådjes d' aidance des wikipedias francès eyet inglès Vos ploz bén seur sicrire so ttafwait; mins nos nos rafiyans di håyner tot des hagnons k' ont-st a vey avou l' Walonreye ou l' walon.
bn	...১৯৯৮ সালে সমাজবাদী পার্টির এক সাংসদ সংসদে ‘মহিলা সংরক্ষণ বিল’-এর বিরোধিতা করলে মমতা বন্দ্যোপাধ্যায় তাঁকে জামার কলার ধরে লোকসভার ওয়েলের বাইরে বের করে দেন? …গবেষণায় দেখা গেছে ডলফিন ও হাতিরাও তাদের নিজেদের আলাদাভাবে পরিচয় দিতে সাংকেতিক নাম ব্যবহার করে?
br	E renkadur an holloueziadurioù hervez danvez ar pennadoù emaomp bremañ er 77vet plas [2], etre an astureg hag ar birmaneg. Ne labouromp ket a-walc'h war ar pennadoù a zo bet boulc'het, hag un toullad pennadoù diazez a vank c’hoazh d’hor Wiki-ni [3], evel tizh pe penisilin ha meur a hini all c'hoazh. Taolit ur sell ouzh roll ar pennadoù a ra diouer d’ar Wiki-mañ. Gallout a ra pep hini ac’hanomp klask sevel ar pennadoù a vank dimp. Mankout a ra dimp ivez pennadoù hir (n'hon eus nemet 22 evit ar mare).
bs	    Izuzetno snažan zemljotres magnitude 8,3 pogodio je obalu Čilea. Epicentar se nalazio u Tihom okeanu, 230 km sjeverozapadno od glavnog grada. Izdano je i upozorenje za cunami. Prvi izvještaji govore o tri poginule osobe.
ja	バイロイト侯領（1604年まではクルムバッハ侯領）は、フランケン帝国クライスに属し、ホーエンツォレルン家の傍流が統治した。本家筋にあたるブランデンブルク選帝侯家（1701年以降はプロイセン王家）と緊密な関係を持ちながら、1792年まで独立した領邦を保った…
oc	D'un biais indirèct, la vila de Marselha auriá donat son nom a l'ouzo L’estau de la comuna d’Embèrt z-es redond. Lo vilatge d’Occitania es dins lo municipi cuban de Los Arabos.
or	କବି ବୈକୁଣ୍ଠନାଥ ପଟ୍ଟନାୟକ କେନ୍ଦ୍ର ସାହିତ୍ୟ ଅକାଦେମୀ ପୁରସ୍କାର ସମ୍ମାନିତ ସବୁଜଗୋଷ୍ଠୀର ଜଣେ କବି ଥିଲେ । ସେ ୧୯୦୪ ମସିହା ସେପ୍ଟେମ୍ବର ୧୪ ତାରିଖରେ ବଡ଼ମ୍ବା ନିବାସୀ ସୁମନ୍ତ ପଟ୍ଟନାୟକଙ୍କ ପୁତ୍ରଭାବେ ଜନ୍ମ ଗ୍ରହଣ କରିଥିଲେ ।
xh	AmaXhosa ngabantu abayithandayo into entle, abantu abakholelwayo kukuhlalisana kakuhle nabanye abantu (bezinye iintlanga nezizwe). Isizwe samaXhosa njengazo zonke izizwe zaseAfrika zikholelwa kakhulu kwizinto zomoya, ubomi obuphilwa ngaba bantu busekelezelwe kwizinto zomoya. Umz: aba bantu bakholelwa ekuthini ukuze baphile ubomi obububo kufuneka bakholise uMdali wabo, uQamata.
ca	 Un terratrèmol de 8,4 graus causa almenys onze morts a Xile. Burkina Faso pateix un cop d'estat. Una explosió d'un dipòsit de combustible al Sudan del Sud mata dotzenes de persones.Divendres 11 de setembre
cy	Canolbwynt y parc yw mynyddoedd uchel Bannau Brycheiniog. Yng ngorllewin y parc mae'r Fforest Fawr a'r Mynydd Du, rhostir eang, ac yn y dwyrain y tu draw i Fannau Brycheiniog mae mynyddoedd o'r un enw, Mynydd Du, ar y ffin â Lloegr.
cs	Vývoj modernizované verze byl zahájen počátkem 80. let 20. století. Konstrukční práce zpočátku vedl Jan Vlček, ale po jeho smrti roku 1984 převzal vedení vývoje L-39MS Vlastimil Havelka. Nejprve dostal stroj označení L-39M (Modernizace), ale když bylo rozhodnuto, že bude nejen cvičným, ale i lehkým bojovým letounem, změnilo se jeho označení na L-39MS (Modernizace Super). Úpravy původního typu však dosahovaly takového rozsahu, že se jednalo o prakticky nový letoun.
ps	مصري محکمې د مصر پخواني ولسمشر محمد مُرسي ته د مرگ سزا واؤروله. په فلپین کې د بوټونو په یوې فابریکې کې د اور لگېدنې له کبله لږ تر لږه 72 کسان وژل شوي او گڼ نور ټپیان دي.
pt	Foi por duas vezes na carreira a nº1 do ranking mundial do salto em distância feminino, em 1999 e 2003, e a nona melhor atleta da história da modalidade, em 1999, à época do seu salto de 7,26 m. Também por duas vezes recebeu o prêmio Atleta do Ano concedido pelo Comitê Olímpico Brasileiro. Em abril de 2015, anunciou sua intenção de encerrar sua carreira ao fim deste ano, tornando-se comentarista profissional de atletismo na televisão. 
lt	Maaari mong ilagay sa iyong pahina ng tagagamit ang kahon ng napiling larawan, sa pamamagitan ng pagdaragdag ng tekstong {{Napiling Larawan}} kung saan mo man ibig palitawin ang larawan.
pa	ਅਧਿਆਪਕ ਦਿਵਸ ਸੰਸਾਰ ਦੇ ਬਹੁਤ ਸਾਰੇ ਦੇਸ਼ਾਂ ਵਿੱਚ ਅਧਿਆਪਕਾਂ ਨੂੰ ਵਿਸ਼ੇਸ਼ ਸਨਮਾਨ ਦੇਣ ਲਈ ਅਧਿਆਪਕ ਦਿਨ ਦਾ ਪ੍ਰਬੰਧ ਹੁੰਦਾ ਹੈ। ਕੁੱਝ ਦੇਸ਼ਾਂ ਵਿੱਚ ਉਸ ਦਿਨ ਦੀ ਛੁੱਟੀ ਹੁੰਦੀ ਹੈ ਜਦੋਂ ਕਿ ਕੁੱਝ ਦੇਸ਼ ਇਸ ਦਿਨ ਨੂੰ ਕੰਮ-ਕਾਜ ਕਰਦੇ ਹੋਏ ਮਨਾਂਦੇ ਹਨ। ਭਾਰਤ ਦੇ ਭੂਤਪੂਰਵ ਰਾਸ਼ਟਰਪਤੀ ਡਾ. ਸਰਵਪੱਲੀ ਰਾਧਾਕ੍ਰਿਸ਼ਣਨ ਦਾ ਜਨਮਦਿਨ (5 ਸਤੰਬਰ) ਭਾਰਤ ਵਿੱਚ ਅਧਿਆਪਕ ਦਿਨ ਦੇ ਰੂਪ ਵਿੱਚ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ। ਅਧਿਆਪਕ ਦਿਵਸ, ਵਿਸ਼ਵ ਅਧਿਆਪਕ ਦਿਵਸ ਤੋਂ ਵੱਖ ਹੁੰਦੇ ਹਨ, ਜੋ ਅਧਿਕਾਰਿਕ ਤੌਰ ਤੇ 5 ਅਕਤੂਬਰ ਨੂੰ ਸੰਸਾਰ ਭਰ ਵਿੱਚ ਮਨਾਇਆ ਜਾਂਦਾ ਹੈ।ਅਤੇ ਹੋਰ...
pl	Na tegorocznej ceremonii wręczania nagród Emmy głównym zwycięzcą był serial Gra o tron zdobywając rekordową liczbę 12 statuetek oraz Viola Davis (na zdjęciu) będąca pierwszą Afroamerykanką zdobywającą nagrodę w kategorii Outstanding Lead Actress in a Drama Series
hy	Հոր գծով Ֆեոդոր Միխայլովիչը ծագում է Դոստոևսկիների ազնվական տոհմից, որը սկզբնավորվել է 1506 թվականից։ Գրողի կենսագիր Լյուդմիլա Սարասկինը նշում է, որ Դոստոևսկին չգիտեր իր տոհմի՝ այդքան հին լինելու մասին։ Դոստոևսկիների տոհմաբանությամբ նրա մահից հետո միայն սկսեց զբաղվել գրողի այրին:
hr	 rujna - U Našicama traje festival 15. Dani slavonske šume, kojim se među ostalim obilježava i 250 godina organiziranog šumarstva u Hrvatskoj. rujna - U Zagrebu je održan 65. Hanžekovićev memorijal: pobjednik muške utrke na 100 m je očekivano Asafa Powell, a Sandra Perković je u ženskom bacanju diska dva puta rušila rekord mitinga te pobijedila hicem od 69,88 m.
ht	Aimé Fernand David Cesaire (26 Jwen 1913 - 17 Avril 2008). Aimé Cesaire se yon ekriven, powèt, politisyen matinikè. Li se papa matinikè yo, li se lidè ak kreyatè mouvman "Negritude" (Negritid) ki ap revandike istwa ak pozisyon nèg afriken, karibeyen. Ekriven ayisyen Franketienne di de Cesaire ke li te yon gran mapou : "Yon gran mapou tonbe"
hu	Tömege élőhelyétől függően 500–1000 kilogramm, általában 700–800 kilogramm. A legnehezebb mért példány 2000 kg-ot nyomott. Testének legnagyobb részét vörösesbarna szőrzet borítja. Mint az afrikai fajoknak, a szumátrai orrszarvúnak is két tülke van. A nagyobbik, elülső általában 15–25 centiméteres, és az állat orrán ül. A második tülök az elülső és a homlok között helyezkedik el, igazából csak egy csonk.
hi	नासा के एक मानवरहित अंतरिक्ष यान न्यू होराइज़न्स ने प्लूटो के सबसे नज़दीक से गुज़रकर इतिहास रचा। बर्लिन के ओलंपिक स्टेडियम में खेले गए फाइनल मैच में जुवेंटस को 3-1 से हराकर बार्सिलोना ने पाँचवीं बार यूईएफए चैंपियंस लीग खिताब जीता।
an	Volapükagased pro Nedänapükans, poso te Volapükagased (Zänagased pro Volapükanef), äbinon gased teik perioda Volapüka perevidöl. Redakamü hiels Arie de Jong e J. G. M. Reynders Sr., Volapükagased pro Nedänapükans päpübon dü yels 31 (1932-1963): te Volapükabled zenodik ela Schleyer ädulon lunüpikumo. Volapükagased pro Nedänapükans äbinon jäfidot Volapükakluba valemik Nedänik; äpübon i dalebüdis calöfik cifalas Volapükanefa.
he	כתביה של ארנדט התעמתו רבות עם פילוסופים בני כל התקופות. בזכות מחשבתה העצמאית, התאוריה שלה על הטוטליטריזם והגותה האקזיסטנציאליסטית, בולט שמהּ בשיח בן ימינו. ארנדט ביססה את כתביה על מסמכים פילוסופיים, פוליטיים והיסטוריים וכן על ביוגרפיות ויצירות ספרותיות. דרך הפרשנות שלה לטקסטים, שהושפעה בחלקה ממרטין היידגר, עזרה למצב אותה כהוגת דעות עצמאית במרחב שבין התחומים האקדמיים השונים.
mg	Nahatsiaro saina i Pliniosy fa fohy ny fe-potoana iainan'ny olombelona, ary noho izany tokony ampiasainy tsara izay fe-potoana ananany izay ba tsy hahakely ny fahafahany mianatra.
ml	ബ്രിട്ടീഷ് ഇന്ത്യയിലെ പ്രമുഖനായ ഒരു ഭരണാധികാരിയായിരുന്നു ജോൺ ലോറൻസ് എന്ന ജോൺ ലൈർഡ് മൈർ. 1864 മുതൽ 1869 വരെ ഇന്ത്യയിലെ ബ്രിട്ടീഷ് വൈസ്രോയായിരുന്നു. 1846 മുതൽ 1849 വരെ ജലന്ധർ ദൊവാബിന്റെ ചീഫ് കമ്മീഷണർ, 1849 മുതൽ 1853 വരെ പഞ്ചാബ് ഭരണബോർഡ് അംഗം, 1853 മുതൽ 1858 വരെ പഞ്ചാബിന്റെ ചീഫ് കമ്മീഷണർ, ലെഫ്റ്റനന്റ് ഗവർണർ എന്നീ പദവികളും വഹിച്ചിരുന്നു. 1857-ലെ ഇന്ത്യൻ ലഹളക്കാലത്ത് ലഹള പഞ്ചാബിലേക്ക് പടരാതിരിക്കാൻ ജോൺ സ്വീകരിച്ച നടപടികൾ പ്രശംസകൾക്ക് പാത്രമായി. ഇന്ത്യൻ ശിപായികളുടെ നിയന്ത്രണത്തിലായ ദില്ലി തിരിച്ചുപിടിക്കുന്നതിനുള്ള പദ്ധതികളാവിഷ്കരിച്ചതു ജോൺ ആയിരുന്നു. ഇന്ത്യയിലെ ഗവർണർ ജനറലായി നിയമിക്കപ്പെട്ട പ്രഭുസ്ഥാനമില്ലാത്ത ആദ്യത്തെയാളായിരുന്നു ജോൺ. പഞ്ചാബിന്റെ രക്ഷകൻ എന്നും ബ്രിട്ടീഷ് ഇന്ത്യയുടെ രക്ഷകൻ എന്നും ഇദ്ദേഹം വിശേഷിപ്പിക്കപ്പെടാറുണ്ട്.
mn	Википедиа бол эх сурвалжийг дурдаад хэн ч ашиглаж болох чөлөөт, бидний сайн дурын оролцоогоор баяждаг нэвтэрхий толь юм. 2001 оноос нааш Википедиа төсөлд 30 сая, түүн дотор 2004 оны 2 дугаар сарын 28-нд эхэлсэн монгол хэл бичгийн хувилбарт 14,764 юм үзэгдлийн утга учрыг тайлаад буй энэ цагт уншигч та ч бас эх хэлээрээ нэвтэрхий толийг баяжуулалцаж болно.
mk	Обично реакциите се состојат од многу сложена последователност на поединечни чекори, т.н. елементарни реакции, кои сите заедно ја образуваат целосната реакција. Информациите за целосната последователност на чекорите го чинат механизмот на реакцијата. За опишување на хемиските реакции се користи хемиска равенка при што реактантите, производите и понекогаш важните меѓупроизводи се претставуваат графички и се поврзуваат со реакциона стрелка.
ur	8 ستمبر، کو بڈھ بیر ائیر بیس، خیبر پختونخواہ پر حملہ، 26 فوجی اہلکار اور 4 عام شہری جان بحق، جوابی کاروائی میں 13 عسکریت پسند مارے گئے۔ 17 ستمبر، جاپانی پارلیمان نے جنگ عظیم دوم کے بعد پہلی بار اُس قانون کو منظور کر لیا، جس کی رو سے جاپانی افواج کو ملک سے باہر استعمال کیا جا سکتا ہے۔
mt	Trid tipparteċipa? Aqra r-regoli fundamentali u l-linji gwida, u rrispetta l-wikiketta; li tirreġistra huwa rakkomandat imma mhuwiex obbligatorju.
uk	Оборона Севастополя — історичний фільм 1911 року, присвячений моментам Кримської війни (1854–1855). За розпорядженням Миколи II, до роботи над фільмом залучили велику групу істориків і військових консультантів, щоб якнайточніше відтворити реалії Севастопольської оборони.«Оборона Севастополя» збереглася не у повному обсязі…
